Entry_ID,Date,Account,Description,Debit,Credit,Posted_By,Approved_By,Is_Anomaly,Anomaly_Type,Anomaly_Reason
JE001,2024-02-10,1000-Cash,Monthly rent payment,5000,0,John Smith,Mary Johnson,1,Temporal Anomaly,Weekend posting (Saturday)
JE002,2024-02-11,5000-Revenue,Product sales revenue,0,125000,Sarah Lee,Michael Brown,1,Temporal Anomaly,Weekend posting (Sunday)
JE003,2024-02-10,2000-Accounts Payable,Supplier payment,75000,0,John Smith,John Smith,1,Temporal Anomaly; SOD Violation,Same person posted and approved | Weekend posting (Saturday)
JE004,2024-02-13,6000-Expense,Office supplies,2500,0,Emily Davis,Mary Johnson,0,,
JE005,2024-02-11,1000-Cash,Customer payment received,0,45000,Sarah Lee,Michael Brown,1,Temporal Anomaly,Weekend posting (Sunday)
JE006,2024-02-10,7000-Misc Expense,Unusual large payment,250000,0,John Smith,John Smith,1,Temporal Anomaly; Amount Anomaly; SOD Violation,"Suspicious round amount: $250,000 | Unusually large amount: $250,000 | Same person posted and approved"
JE007,2024-02-12,3000-Inventory,Inventory purchase,35000,0,Emily Davis,Mary Johnson,0,,
JE008,2024-02-14,5000-Revenue,Service revenue,0,15000,Sarah Lee,Michael Brown,0,,
JE009,2024-02-10,8000-Asset,Equipment purchase,150000,0,John Smith,Mary Johnson,1,Temporal Anomaly,Weekend posting (Saturday)
JE010,2024-02-11,4000-Accounts Receivable,Credit sales,85000,0,Emily Davis,Michael Brown,1,Temporal Anomaly,Weekend posting (Sunday)
