date,amount,description,reference,gl_account
2025-12-02,10000.00,Monthly Rent,TXN-001,6100
2025-12-02,5500.00,Utilities Payment,TXN-002,6200
2025-12-04,3200.00,Office Supplies,TYPO-003,6300
2025-12-04,8900.00,Vendor ABC Invoice,TXN-004,6400
2025-12-05,1200.00,Bank Charges Assessed,TXN-005,6500
2025-12-06,45000.00,Payroll December,TXN-006,6600
2025-12-07,2300.00,Software Subscription,TXN-007,6700
2025-12-08,1800.00,Travel Reimbursement,TXN-008,6800
2025-12-09,6700.00,Marketing Spend,TXN-009,6900
2025-12-10,4100.00,Legal Fees Retainer,TXN-010,7000
2025-12-11,990.00,Interest Income Accrual,TXN-011,7100
2025-12-12,15600.00,Equipment Purchase,TXN-012,7200
2025-12-13,780.00,Miscellaneous postage,TXN-013,7300
2025-12-14,22300.00,Client Receipt A,TXN-014,7400
2025-12-15,11000.00,Client Receipt B,TXN-015,7400
2025-12-16,880.00,Insurance Premium,TXN-016,7500
2025-12-17,6400.00,Consulting Fees,TXN-017,7600
2025-12-18,3050.00,Cleaning Services,TXN-018,7700
2025-12-19,5120.00,Freight Inbound,TXN-019,7800
2025-12-20,14500.00,Tax Payment Estimate,TXN-020,7900
